iter	Passed	Remaining
1323	99508	13227
1324	99622	13157
1325	99696	13082
1326	99776	13007
1327	99853	12932
1328	99924	12857
1329	100009	12783
1330	100078	12707
1331	100154	12632
1332	100236	12557
1333	100320	12483
1334	100382	12406
1335	100443	12329
1336	100518	12254
1337	100619	12182
1338	100689	12106
1339	100753	12030
1340	100813	11953
1341	100874	11876
1342	100940	11800
1343	101005	11723
1344	101069	11647
1345	101134	11571
1346	101233	11498
1347	101299	11422
1348	101359	11345
1349	101421	11269
1350	101503	11194
1351	101573	11119
1352	101748	11054
1353	101811	10978
1354	101870	10901
1355	101934	10824
1356	102003	10749
1357	102066	10672
1358	102136	10596
1359	102201	10520
1360	102277	10445
1361	102342	10369
1362	102405	10293
1363	102466	10216
1364	102537	10141
1365	102606	10065
1366	102668	9989
1367	102757	9915
1368	102842	9841
1369	102910	9765
1370	102983	9689
1371	103052	9614
1372	103114	9537
1373	103178	9461
1374	103245	9385
1375	103313	9310
1376	103376	9234
1377	103444	9158
1378	103515	9082
1379	103588	9007
1380	103651	8931
1381	103715	8855
1382	103805	8781
1383	103892	8707
1384	103963	8632
1385	104030	8556
1386	104111	8482
1387	104175	8406
1388	104242	8330
1389	104313	8255
1390	104382	8179
1391	104443	8103
1392	104524	8028
1393	104591	7953
1394	104662	7877
1395	104737	7802
1396	104803	7727
1397	104987	7660
1398	105048	7583
1399	105121	7508
1400	105190	7433
1401	105261	7357
1402	105326	7282
1403	105385	7205
1404	105451	7130
1405	105515	7054
1406	105581	6978
1407	105641	6902
1408	105708	6827
1409	105781	6751
1410	105848	6676
1411	105912	6600
1412	106013	6527
1413	106083	6452
1414	106152	6376
1415	106218	6301
1416	106290	6225
1417	106354	6150
1418	106426	6075
1419	106485	5999
1420	106550	5923
1421	106619	5848
1422	106688	5773
1423	106755	5697
1424	106823	5622
1425	106895	5547
1426	106963	5471
1427	107091	5399
1428	107157	5324
1429	107225	5248
1430	107292	5173
1431	107369	5098
1432	107432	5023
1433	107499	4947
1434	107562	4872
1435	107638	4797
1436	107710	4722
1437	107776	4646
1438	107842	4571
1439	107925	4496
1440	107983	4421
1441	108074	4346
1442	108293	4277
1443	108595	4211
1444	108700	4137
1445	108759	4061
1446	108829	3986
1447	108906	3911
1448	108975	3835
1449	109036	3759
1450	109190	3687
1451	109271	3612
1452	109349	3537
1453	109413	3461
1454	109482	3386
1455	109563	3310
1456	109634	3235
1457	109694	3159
1458	109768	3084
1459	109834	3009
1460	109898	2933
1461	109968	2858
1462	110033	2782
1463	110095	2707
1464	110173	2632
1465	110279	2557
1466	110350	2482
1467	110419	2406
1468	110486	2331
1469	110551	2256
1470	110615	2180
1471	110688	2105
1472	110752	2030
1473	110823	1954
1474	110885	1879
1475	110964	1804
1476	111029	1728
1477	111099	1653
1478	111167	1578
1479	111244	1503
1480	111431	1429
1481	111507	1354
1482	111575	1279
1483	111643	1203
1484	111717	1128
1485	111779	1053
1486	111842	977
1487	111914	902
1488	111981	827
1489	112045	751
1490	112104	676
1491	112172	601
1492	112249	526
1493	112341	451
1494	112490	376
1495	112565	300
1496	112633	225
1497	112698	150
1498	112770	75
1499	112836	0
